"","Symbol","Company Name","Trading Name","ISIN Code"
"193",2281,"Tanmiah Food Co.","TANMIAH","SA15BH1H3KH5"
"194",8010,"The Company for Cooperative Insurance","TAWUNIYA","SA000A0DPSH3"
"195",8030,"The Mediterranean and Gulf Insurance and Reinsurance Co.","MEDGULF","SA000A0MJ2H8"
"196",2150,"The National Company for Glass Industries","ZOUJAJ","SA0007879329"
"197",1180,"The Saudi National Bank","SNB","SA13L050IE10"
"198",4261,"Theeb Rent a Car Co.","THEEB","SA159GK22IH4"
"199",4160,"Thimar Development Holding Co.","THIMAR","SA0007879816"
"200",4012,"Thob Al Aseel Co.","ALASEEL","SA14TGL1UM17"
"201",4070,"Tihama Advertising and Public Relations Co.","TAPRCO","SA0007870096"
"202",4170,"Tourism Enterprise Co.","TECO","SA0007879824"
"203",3005,"Umm Al-Qura Cement Co.","UACC","SA13I051EUH6"
"204",8190,"United Cooperative Assurance Co.","UCA","SA121053VV10"
"205",4003,"United Electronics Co.","EXTRA","SA12U0RHUHH8"
"206",4260,"United International Transportation Co.","BUDGET SAUDI","SA000A0MWH44"
"207",1301,"United Wire Factories Co.","ASLAK","SA12RGH0KAH5"
"208",2100,"Wafrah for Industry and Development Co.","WAFRAH","SA0007879220"
"209",8060,"Walaa Cooperative Insurance Co.","WALAA","SA000A0MLUD8"
"210",8300,"Wataniya Insurance Co.","WATANIYA","SA12HG541M13"
"211",3020,"Yamama Cement Co.","YSCC","SA0007879451"
"212",3060,"Yanbu Cement Co.","YCC","SA0007879519"
"213",2290,"Yanbu National Petrochemical Co.","YANSAB","SA000A0HNF36"
"214",3007,"Zahrat Al Waha for Trading Co.","OASIS","SA14C0PHEVH7"
"215",2240,"Zamil Industrial Investment Co.","ZAMIL INDUST","SA0007879410"
